название	цена	рейтинг_SW	год	Стилистика вина	Дегустационные характеристики	Гастрономия	Виноградники	Способ выдержки	Способ производства	История этикетки	Это интересно	регион	год	крепость	потенциал хранения	аппелласьон	категория	декантация	выдержка в емкости	подача	сладость	кислотность	танины	тело	комментарии
Вино Gevrey-Chambertin Vieille Vigne	24990.0	5.0	2019.0	красное — элегантное, комплексное, выдержанное в дубе	Красивый тёмно-рубиновый цвет и выразительные ароматы смородины, чёрной вишни, лесных ягод и подлеска. Среднетелое, элегантное и хорошо структурированное во вкусе, с шелковистыми танинами, освежающей кислотностью и насыщенным послевкусием, в котором раскрываются оттенки лепестка розы и вишнёвого ликёра.	Можно порекомендовать мякоть ягнёнка на гриле, бёф-бургиньон, петуха в вине и выдержанные сыры.	Расположены на льё-ди Шамперье, в северной части аппелласьона Жерве-Шамбертен на границе с коммуной Брошон. Площадь виноградника около 3 га. Лозы высажены в период с 1928 по 1955 год. Почвы глинисто-известняковые на известняковых подпочвах.	В течение 24 месяцев (18-20 на осадке) в дубовых бочках, не более 20% из которых новые.	Ручной сбор, тщательный триаж (сортировка ягод). Проводится предферментационная холодная мацерация в течение 3-4 дней. Спонтанная ферментация в ёмкостях из нержавеющей стали при контролируемых температурах в течение 3 недель с применением батонажа. Малолактика проходит в бочках. При бутилировании диоксид серы не добавляется. Оклейка и фильтрация отсутствуют.		Все вина домена Фурье рождаются со старых лоз. Это кюве было названо Вьей Винь, чтобы выделить его из ряда просто коммунальных Жевре. Вино обладает мощной танинной структурой, позволяющей его ставить в одну линейку с лучшими образцами Жевре-Шамбертен Премье Крю.	Бургундия	2019	13%	10-15 лет.	Gevrey-Chambertin AOC	Appellation d'Origine Controlee (AOC)	аэрация	Бочка	['Выдержанный сыр']	1	3	4	5	['', '']
Вино Podere Montepulciano d&apos;Abruzzo	1343.0	4.3	2021.0	красное — округлое, фруктовое, среднетелое, не выдержанное в дубе	Вино ярко-рубинового цвета с фиолетовым оттенком. В интенсивном ягодном аромате доминируют нотки сливы, вишни, ежевики и черной смородины. Округлое, гармоничное во вкусе с бархатистыми танинами и продолжительным послевкусием.	Идеально в сочетании с пастой с мясными соусами и дичью с овощами на гриле.	"Расположены в провинциях Chieti и Teramo региона Абруццо. Способ подвязки называется ""tendone"" - лозы формируют в виде беседки."	В емкостях из нержавеющей стали в течение 4 месяцев. Перед поступлением в продажу вино еще некоторое время выдерживается в бутылках в погребах хозяйства.	Виноград собирают вручную. Мацерация в течение 10 дней. Ферментация в емкостях из нержавеющей стали. Далее проводится малолактическая ферментация.		Название хозяйство Umani Ronchi получило в честь Джино Умани Ронки, первого владельца поместья, который приобрел земли на холмах Марке, высадил первые виноградники и построил винодельню. Бернетти выкупили его поместье и позже приобрели участки в соседнем регионе Абруццо, также расположенном на побережье Адриатического моря. В 1977 году в свет вышло Podere Montepulciano d'Abruzzo из местного, широко распространенного в центральной Италии сорта монтепульчано, правда тогда оно называлось просто Montepulciano d'Abruzzo.	Абруццо	2021	13%	3-5 лет.	Montepulciano d'Abruzzo DOC	Denominazione di Origine Controllata (DOC)	не рекомендуется	Нейтральная Емкость	['Паста', 'Утка']	1	3	3	3	['Никакого баланса, смородинового цвета, для столового варианта слишком плотное, с интенсивными танинами, собственно, кроме танинов ничего не почувствуете, даже еду, которую едите ..купили ящик, т к ни раз бывали в Умани Ронки и стоимость была «задаром»,пришлось щедро использовать во  время приготовления блюд…', 'Идеальное вино для тех, кто хочет насладиться сбалансированным красным по приятной цене. Насыщенный цвет, в аромате и вкусе хорошо ощущается вишневая косточка. 2 мин дать подышать в бокале, и вкус раскрывается. Пьется легко, как самостоятельно, так и под еду.', 'Великолепное вино. Прекрасно подаёт себя как самостоятельно так и в аккомпанемент к сырам, горячему и конечно фруктам.', 'На удивление очень кислое по сравнению с этим же вином того же производителя прошлых лет (была другая этикетка). Очень среднее. Не посмакуешь. Хочется закусить чем то перебивающим кислотность. Резковато. Предыдущее было послаще и нежнее', 'Привезли вместо 2018 года 2019. Не понравилось, не рекомендую.', 'Очень вкусное вино в этой ценовой категории', 'Очень кислотное. Не рекомендую', 'Отличное вино, кислое только по сравнению с полусладким.', 'Достаточно полнотелое со средними танинами, плотно сбитое без выдержки в бочке, за тысячу рублей - конкурентов трудно будет найти', 'Простое незатейливое столовое вино, в меру плотное']
Вино Hacienda Lopez de Haro Gran Reserva	3990.0	4.8	2012.0	красное — насыщенное, пряное, выдержанное в дубе	Темно-вишневый цвет с охристыми бликами по краю. Многогранный аромат раскрывается доминантой ягодного джема, сухофруктов, специй, пряностей, лакричника, какое и ванили. Бархатистое, элегантное, с утонченным балансом кислотности и хорошо интегрированных танинов, концентрированными вишневыми нюансами во вкусе и гармоничным пряно-лакричном послевкусием.	Сочетать с мясными закусками, тапасами, блюдами испанской кухни, блюдами из красного мяса и выдержанными сырами.	Виноградники располагаются в исторической деревушке Сан-Винсенте де ла Сонсьерра (Риоха) на глинисто-известковых почвах под горным хребтом Толоньо, который защищает виноградники от холодных ветров Кантабрийского моря и от влияния реки Эбро, обеспечивая необходимую влажность. Идеальное расположение с идеальным микроклиматом, где ветра обеспечитвают необходимую аэрацию виноградных лоз и умеренные температуры в течение всего года.	30 месяцев в бочках из французского и американского дуба (20% новые и 80% второго и третьего пассажа), 4 года в бутылках.	Ручной сбор винограда с самых старых участков с ограниченной урожайностью, в октябре. Проводят статическую мацерацию в течение 10 дней, контролируемую ферментацию при температуре 25°C. Перед бутилированием вино выдерживают в дубовых бочках.	Хозяйство Lopez de Haro названо в честь дона Диего Лопеса де Аро, основателя города Бильбао, а для этикеток был выбран винтажный стиль, вдохновленный эстетикой вин начала XX века.	Винодельня Hacienda Lopez de Haro находится на склоне, что позволяет производству функционировать по гравитационному принципу – виноград перемещается на всех стадиях под действием силы тяжести сверху вниз, без использования насосов. Это самый щадящий способ обращения с вином, который влияет на его чистоту и баланс. Lopez de Haro Reserva — это ассамбляж темпранильо и грасиано, который к тому же выдержан дольше положенного срока. Вино получается еще более комплексным и структурированным.	Риоха	2012	14%	13-15 лет.	Rioja DOCa	Denominacion de Origen Calificada (DOCa)	аэрация	Бочка	['Говядина', 'Выдержанный сыр']	1	4	4	5	['Интересно. Красиво развивается.\nКисломолочка и скотный двор с кислой вишней, кожа, затем обгорелые палки, лак, мята.\nПриятное зрелое во рту вино, сдержано и благородно.', 'Отличная гран резерва! Важно: дать дышать и развиться. Через час после открытия это будет уже немножко другое вино :)', 'Вообще оценка, это чисто субъективное мнение. Мне нравятся легкие красные вина, больше итальянские. Но это не может не понравятся. Насыщенное с многогранным букетом. Дайте ему минут 20 и оно заиграет по-другому.', 'мощное, яркое, танинное вино\r\nспеции, слива, ваниль, дуб', 'Очень неплохо за свои деньги. Первый нос - варёные солёные раки. Потом раскрывается дуб и ягода. Танины сухие, обволакивающие.', '', '', '', '', '']
Вино Morey-Saint-Denis	16990.0	5.0	2018.0	красное — элегантное, комплексное, выдержанное в дубе	Обладает рубиново-красным цветом. В букете доминируют яркие ароматы красных ягод, подлеска, сухих трав, и специй. Танины мягкие и сбалансированные. Округлое и сочное, вино обладает гармоничной структурой и долгим приятным послевкусием.	Сдержанная мягкость этого вина наводит на мысль о самых основательных блюдах бургундской кухни - беф бургиньон, дичь, кролик, петух в вине, мясо на гриле и даже барашек. Сыры должны быть, безусловно, мощными и выдержанными.	"Домен придерживается древней философии ""Исключительное качество вина,  прежде всего, зависит от здоровья  лозы"" и следует принципам разумного виноградарства (lutte raisonnee). Так, химические препараты против болезней и вредителей на виноградниках применяются только в случае острой необходимости, а поврежденные грозди не используют для производства вина. Почва каменистая с преобладанием глины и известняка."	На 20% в новых бочках в течение 18 месяцев.	Ручной сбор, холодная мацерация в течение 5 дней с ежедневным ремонтажем. Ферментация проходит в открытых нейтральных емкостях при строго контролируемой температуре в течение 15-20 дней и только на натуральных дрожжах. Юбер Линье считает, что необходимо избегать чрезмерной экстрактивности вина и сильной выдержки в дубе, ведь вино, созданное из пино нуара, должно быть утонченным и благородным. Все вина хозяйства бутилируют без фильтрации.		Гордой маленькой коммуне Море-Сен-Дени знатоки Бургундии выделяют особое место в своих коллекциях. Так уж вышло, что эта коммуна, словно зажатая между Шамбертеном и Шамболем, многие годы была не только неизвестна, но и редко упоминаема. В 1120 году крупный бургундский феодал Саварик де Вержи подарил коммуну вместе с крестьянами, землями и виноградниками аббатству Сито, тогда-то на этих землях и началось серьезное развитие виноделия.	Бургундия	2018	13.5%	12-15 лет.	Morey-Saint-Denis AOC	Appellation d'Origine Controlee (AOC)	аэрация	Бочка	[]	1	3	4	4	['Выдающееся вино! Шелковистый вкус, деликатные танины.']
Вино Gran Reserva Carmenere	1990.0	4.3	2019.0	красное — мощное, пряное, выдержанное в дубе	Вино насыщенного рубинового цвета с лиловым отливом. Обладает насыщенным, экспрессивным ароматом с доминантой пряных нот мускатного ореха и черного перца. Сочное и пряное во вкусе, отличается прекрасным балансом и мягкими, округлыми танинами.	Вино будет хорошо сочетаться с холодными мясными закусками и рагу алла болонезе.	Расположены в двух субзонах Долины Рапель Пеумо и Лос Лингес. Микроклимат зоны Пеумо, расположенной в западной части долины, отличается более высокими температурами.  Лос Лингес наоборот испытывает сильное влияние Анд, что выражается в значительном перепаде дневных и ночных температур. Почвы преимущественно вулканические с аллювиальными, базальтовыми и глинистыми включениями.	В течение 12 месяцев в бочках из французского дуба.	Из винограда удаляют гребни и аккуратно прессуют. Мацерация занимает 30 дней, сусло ферментируют в стальных емкостях, используя селективные дрожжи.		Долгое время карменер в Чили принимали за мерло, пока в 1994 году ампелограф Жан-Мишель Бурсико не взял анализ ДНК сорта. Открытие карменера могло бы стать для Чили тем же, что мальбек для Аргентины, но сорт оказался непростым у раннего карменера вкус зелёно-овощной, у позднего — чистый джем. Пока винные критики требуют определенности, обе версии находят своих поклонников.	Центральная Долина	2019	13.5%	6-8 лет.	Valle de Cauquenes	Denominacion de Origen (DO)	не рекомендуется	Бочка	[]	2	2	4	3	"['Невероятное вино, отзывы не соответствуют истине.В аромате пряности,острый перец,специи.Сам аромат достаточно резкий,мощный,что уже дает небольшое понятие о вкусе вина.\r\nВкус серьезный,никаких фруктовых нот.Сбалансированная терпкость,разновидность специй во вкусе,и легкое ""пощипование"" на корне языка после выпитого глотка.\r\nДля сухого вина это что-то интересное,необычное.\r\nЕсли хотите позицию по серьезней,без сладости и фруктов во вкусе и аромате,то я думаю что стоит попробовать.', 'Слишком много дёгтя во вкусе.', '', '', '', '']"
Вино La Gioia	13490.0	4.6	2018.0	красное — элегантное, насыщенное, выдержанное в дубе	Рубиново-красный цвет. Деликатный, насыщенный аромат с тонами  красных ягод, вишни, фиалки, легкими нотами пряностей и нюансами обожженного дуба. Полнотелое, насыщенное и при этом очень деликатное во вкусе вино с гармоничной кислотностью и долгим послевкусием.	Хорошо сочетается с говядиной или телятиной под красным соусом, дичью, выдержанными сырами.	Несколько участков с различными типами почв, средний возраст лоз - 25 лет.	В течение 24 месяцев во французских барриках и бочках из славонского дуба.	Ручной сбор, ферментация в нейтральных емкостях. Фильтрация перед розливом не проводилась.		Первое упоминание о винодельне встречается в архивах церковных документов, датированных еще 1112 годом. В то время Риечине принадлежало монастырю.	Тоскана	2018	14.5%	15-20 лет.	Toscana IGT	Indicazione Geografica Tipica (IGT)	аэрация	Бочка	['Говядина', 'Выдержанный сыр', 'Утка']	1	3	5	5	['Ароматны малины, ежевики, сладких специй и белых грибов.\xa0\nСреднетелое вино с прекрасными танинами.\xa0Хорошая текстура и яркая кислотность, переходящая вофруктовое послевкусие.', 'Мощное, элегантное, мясное.', 'Интересная ароматика, среднее тело, мягкие танины, очень интересное вино', '', '', '', '', '', '', '']
Вино Blason d&apos;Issan	6990.0	5.0	2015.0	красное — элегантное, насыщенное, выдержанное в дубе	Вино насыщенного темно-малинового цвета с пурпурным оттенком. В аромате доминируют нотки черных ягод и лакрицы, оттенки специй и трав. Полнотелое, концентрированное, с шелковистыми танинами, гибкой структурой во вкусе и богатым, продолжительным послевкусием.	Прекрасно сочетается с дичью, различными мясными блюдами, поданными под сложными соусами, и выдержанными сырами.	Общая площадь виноградников 30 га. Плотность посадки 8,5 тыс.лоз/га. Средняя урожайность 45-50 гл/га. Почвы мелкий гравий с примесью известняка и глины. Возраст лоз около 18 лет.	В течение 18 месяцев во французских барриках, одна треть из которых новые.	Cбор винограда проводится вручную. Мацерация и ферментация осуществляется в стальных емкостях  при контролируемой температуре. После чего в баррелях проводится малолактическая ферментация. Сусло осветляется  при помощи яичного белка.		"Blason d'Issan - это второе вина Chateau d'Issan. Вина этого замка всегда подавали на столы коронованных особ по случаю знаменательных событий. Не случайно девиз над входом в Шато гласит ""Regum mensis arisque Deorum"" - ""Для столов королей и алтарей Богов""."	Бордо	2015	14%	10-15 лет.	Margaux AOC	Appellation d'Origine Controlee (AOC)	аэрация	Бочка	['Выдержанный сыр', 'Утка']	1	3	5	4	['', '', '']
Вино Brunello di Montalcino	6293.0	4.8	2017.0	красное — мощное, насыщенное, выдержанное в дубе	Вино интенсивного рубиново-красного цвета с легким пурпурным отблеском и комплексным ароматом, в котором раскрывается  целое богатство оттенков (красные ягоды, цветы, лакрица, специи), подчеркнутых легкими нотками сливы и ванили. Полнотелое, гармоничное, округлое во вкусе, с шелковистыми танинами, великолепной структурой и продолжительным послевкусием.	Можно порекомендовать к красному мясу на гриле, дичи и выдержанным сырам.	Расположены на склонах холмов высотой 220 м в южной части области Монтальчино. Почвы мергелевые с большим количеством гальки. Кастелло Банфи - первое в мире винодельческое хозяйство, получившее международное признание за охрану окружающей среды, а также за этическую и социальную ответственность, что подтверждено соответствующим сертификатом (ISO 14001).	В течение 24 месяцев в дубовых бочках различного объема (от 350 л до 120 гл). Затем выдержка в бутылке.	Мацерация и ферментация в емкостях из нержавеющей стали и дуба (уникальная разработка Castello Banfi) в течение 10-12 дней.		Брунелло, одно из выдающихся и самых дорогих вин Тосканы, первым в Италии получило категорию DOCG. Брунелло ди Монтальчино от Банфи отмечено в Топ-100 лучших вин журнала Wine Spectator. Первый релиз этого вина состоялся в 1978 году. На протяжении 20 лет для него отбирались лучшие клоны санджовезе. Хозяйство Banfi в принципе можно считать создателями брунелло когда они приехали в Монтальчино и начали свой винодельческий проект, в регионе было всего около десяти производителей брунелло. Семья Мариани годами вкладывалась в развитие бренда “брунелло из Монтальчино”, проводила исследования местной почвы и клонов санджовезе, делилась опытом и результатами научных изысканий с соседями — в итоге сегодня количество производителей в Монтальчино приблизилось к трём сотням, а само вино считается великим итальянским красным.	Тоскана	2017	15%	15-20 лет.	Brunello di Montalcino DOCG	Denominazione di Origine Controllata e Garantita (DOCG)	аэрация	Бочка	['Утка', 'Говядина', 'Выдержанный сыр']	1	3	5	5	['Обязательно декантировать мин 60 минут. Иначе много кислоты. После декантирования вино играет совсем по другому.', 'Очень органично, ярко и элегантно. В рамках цены соответствует на все 100%. Идеально подходит для романтичного вечера на двоих. Но перед употреблением дать подышать минимум  30 мин, что оно стало более ярким.', 'Банфи - это достойное качество, их Брунелло отдельная песня, 5 баллов за эти деньги', 'О да, это Брунелло)', 'Шикарное вино. Аромат утреннего леса, дерева, тёмных ягод, кожи. Во вкусе ягоды, и чёрный чай в послевкусии.', 'Отличное!', 'Чудесное вино! Но ценник теперь сказочный))', 'Самое лучшее', 'Прекрасное вино Нового Света на каждый день, лёгкое, приятное.', 'Отличный вкус']
Вино Blason d&apos;Issan	6690.0	5.0	2014.0	красное — элегантное, насыщенное, выдержанное в дубе	Вино насыщенного темно-малинового цвета с пурпурным оттенком. В аромате доминируют нотки черных ягод и лакрицы, оттенки специй и трав. Полнотелое, концентрированное, с шелковистыми танинами, гибкой структурой во вкусе и богатым, продолжительным послевкусием.	Прекрасно сочетается с дичью, различными мясными блюдами, поданными под сложными соусами, и выдержанными сырами.	Общая площадь виноградников 30 га. Плотность посадки 8,5 тыс.лоз/га. Средняя урожайность 45-50 гл/га. Почвы мелкий гравий с примесью известняка и глины. Возраст лоз около 18 лет.	В течение 18 месяцев во французских барриках, одна треть из которых новые.	Cбор винограда проводится вручную. Мацерация и ферментация осуществляется в стальных емкостях  при контролируемой температуре. После чего в баррелях проводится малолактическая ферментация. Сусло осветляется  при помощи яичного белка.		"Blason d'Issan - это второе вина Chateau d'Issan. Вина этого замка всегда подавали на столы коронованных особ по случаю знаменательных событий. Не случайно девиз над входом в Шато гласит ""Regum mensis arisque Deorum"" - ""Для столов королей и алтарей Богов""."	Бордо	2014	13%	10-15 лет.	Margaux AOC	Appellation d'Origine Controlee (AOC)	аэрация	Бочка	['Выдержанный сыр', 'Утка']	1	3	4	4	['', '', '']
Вино Chateau Rouget	10990.0	4.5	2015.0	красное — элегантное, комплексное, выдержанное в дубе	Глубокий рубиново-пурпурный цвет. В ярком букете раскрываются ароматы лесной малины, темного шоколада и кофейных зерен, легкие оттенки кожи и специй. Среднетелое, с гибкой текстурой, деликатными танинами во вкусе и освежающими ягодными нотками в гармоничном послевкусии.	Подавать к тушеной оленине и баранине, птице в винном соусе, телятине с овощами на гриле, твердым сырам.	Замку принадлежат три участка общей площадью 18 га, расположенных на так называемом помрольском плато. Почвы глинистые с вкраплением гравия. Средний возраст лоз 30 лет, плотность посадки 6 000 лоз/га. Урожайность 35 гл/га.	В течение 15-18 месяцев в дубовых бочках, из которых 50% новые.	Ручной сбор. Двойной триаж (селекция ягод). Мацерация и ферментация в течение трех недель при температуре 28-30°С в нейтральных и дубовых емкостях. Малолактическая ферментация проводится в дубовых барриках.		"Шато Руже было известно еще с римских времен, благодаря поэту Озону, который прославлял здешние красоты. Тогда поместье называлось ""Ружье"", что значило ""обширные земли""."	Бордо	2015	15%	15-25 лет.	Pomerol AOC	Appellation d'Origine Controlee (AOC)	аэрация	Бочка	['Оленина', 'Сыр']					['Пирозин, перец, томаты, дуб, переспелая ягода (черешня, слива). Бодрая кислотность, сухие танины. Во рту малина, специи, дуб', 'В первую очередь это Мерло и это стоит учитывать! \nЛучше всего подходит: оливки ночеллара и выдержанный грюйер или пармезан.\nНадо декантировать или аэрировать.', 'малина, шоколад, отлично 👍', '']
Вино Chateau Talbot	19990.0	5.0	2016.0	красное — элегантное, насыщенное, выдержанное в дубе	Богатый темно-рубиновый цвет с фиолетовым оттенком. В аромате постепенно раскрываются тона ежевики, сушеной вишни, измельченных цветов, оттенки табака и мяты. Элегантная структура, округлые шелковистые танины и роскошное продолжительное послевкусие с нотками шоколада.	Отлично сочетается с тушеной олениной или бараниной, нежным мясом ягненка на гриле, пернатой дичью в винном соусе и выдержанными сырами.	Замку принадлежат 107 га, расположенных на классических для Сен-Жюльена гравийных почвах. Плотность посадки 7700 лоз/га. Средний возраст лоз 35 лет.	В течение 18 месяцев в барриках, 50% из которых новые.	Ручной сбор. Двойной триаж (селекция ягод). Ферментация ягод в стальных и дубовых емкостях при контролируемой температуре.		Имея 4-ю категорию Grand Cru Classe, в лучшие годы вина замка превосходят вина 2-ой категории Grand Cru Classe.	Бордо	2016	13.5%	15-20 лет.	Saint-Julien AOC	4-eme Grand Cru Classe	декантация	Бочка	['Выдержанный сыр', 'Оленина', 'Ягненок', 'Утка']					['Вино изумительное. После открытия очень насыщенное, терпкое. Со временем становится мягче, меняется слегка вкус и ощущение. Послевкусие долгое, приятное', '', '']
Вино Каберне совиньон 	1490.0	4.7	2019.0	красное — округлое, насыщенное, выдержанное в дубе	Вино тёмно-рубинового цвета с оттенками чёрной смородины, чернослива и молочного шоколада в аромате. Вкус яркий, гармоничный, аккуратно подчёркнутый округлыми танинами. Длительный и сочный финал с оттенками кофе и тонкой дымной нотой.	Гармонично сочетается с мясными блюдами, приготовленными на гриле и углях, а также с выдержанными сырами. Прекрасно дополнит рагу из говядины и бараньи рёбра.	Расположены в особом месте на Таманском полуострове, между Азовским морем и Ахтанизовским лиманом. Соседство тёплого моря и пресноводного залива моделирует климат, благоприятный для роста и развития лозы.	Во французских барриках не менее 12 месяцев.	Ферментация проходит в дубовых бочках при контролируемых температурах. Применение технологических операций, направленных на извлечение красящих веществ (ремонтаж, пижаж, делестаж) с последующим яблочно-молочным брожением и выдержкой во французском дубе.			Кубань	2019	13.7%	5-7 лет.		Защищённое географическое указание (ЗГУ)	аэрация	Бочка	['Говядина', 'Ягненок', 'Выдержанный сыр']					['Восхитительное сухое вино! Приятное на вкус. Одно из лучших российских вин.', 'Пожалуй никогда не чувствовал так отчетливо запах чёрной смородины, как в этом вине. Как будто руками давишь сок. Винтаж 2019 на пике, но уже видно прозрачное кольцо в бокале. Довольно сочное, послевкусие длительное, танины чувствуются, но приятные.', 'Зашкаливающие танины, черная смородина. Вино хорошее, но уж очень вяжет.', 'Мне кажется, это одно из лучших российских каберне.', 'Нам очень понравилось, приятный аромат. Вкус супер!!!', '', '', '', '', '']
Вино Chateau la Dominique	11190.0	3.8	2012.0	красное — элегантное, комплексное, выдержанное в дубе	Вино обладает насыщенным рубиновым цветом с легкими фиолетовыми оттенками и комплексным ароматом с тонами спелой сливы, инжира, кофейных зерен и сладкого табака.  Полнотелое, с хорошим балансом кислотности, бархатистыми танинами и элегантным продолжительным послевкусием.	Прекрасно сочетается мясом ягненка на гриле, пернатой дичью в винном соусе, куриным пирогом.	Одной стороной виноградник примыкает к поместью Шеваль-Блан, а северная его часть граничит с виноградниками Помроля. Площадь 23 га. Почвы гравий и песок поверх глины. Средняя урожайность 40 гл/га. Средний возраст лоз 30 лет. Плотность посадки 5700 лоз/га.	В течение 18 месяцев в дубовых бочках, 50-70% которых обновляются ежегодно.	Ручной сбор. Тщательный триаж (селекция винограда). Ферментация проводится в нейтральных емкостях в течение 25-35 дней. Малолактическая ферментция осуществляется в дубовых барриках. Вино осветляется яичным белком и подвергается очень легкой фильтрации.		Нынешнее название поместью (Chateau la Dominique) дал его основатель в XVIII веке в честь острова Доминика, расположенного в Карибском море в Вест-Индии, где этот человек нажил свое состояние.	Бордо	2012	14%	15-20 лет.	Saint-Emilion Grand Cru AOC	Grand Cru Classe	аэрация	Бочка	['Утка', 'Ягненок', 'Курица']	1	3	5	5	"['Сухофрукты с орехами в носу. Вино перешло свой пик. Танин заряженный, немного отслоенный от общего букета. Мимо', 'Танины. На 2012 пить рановато (2022). Нос - цитрус, земля, зеленый табак. Вкус -  танины, ""правильная"" кислотность, красная смородина, чуть яблочка.', '', '']"
Вино Chateau Ferriere	12990.0	5.0	2015.0	красное — мощное, насыщенное, выдержанное в дубе	Вино благородного рубиново-красного цвета. В ярком аромате тона черных ягод, свежих красных фруктов и лакрицы дополнены тонкими нотками кожи и сухого дуба. Полнотелое, с очень мягкими, шелковистыми танинами и длительным элегантным послевкусием.	Вино послужит прекрасным дополнением к говядине под соусом, дичи, блюдам из домашней птицы и выдержанным сырам.	8 га в центре коммуны Марго. Почвы глубокий слой жирондского гравия на глинисто-известняковых подпочвах. Возраст лоз около 35 лет. На винограднике высажены лозы каберне совиньона (80%), мерло (15%) и пти вердо (5%).	В течение 16-18 месяцев в барриках, 60% из которых обновляются ежегодно.	Виноград собирается вручную. Винификация проводится в стальных емкостях при температурном контроле. Малолактическую ферментацию проводят сразу после завершения алкогольной в новых дубовых бочках. Осветляют вино с помощью яичного белка.		Замок носит фамилию купца, владевшего этим замком в XVIII веке - Gabriele Ferriere, родственником которого был мэр Бордо.	Бордо	2015	14%	15-25 лет.	Margaux AOC	3-eme Grand Cru Classe	аэрация	Бочка	['Говядина', 'Утка', 'Курица', 'Выдержанный сыр']					['', '']
Вино Chateau Phelan Segur	9990.0	4.2	2015.0	красное — мощное, насыщенное, выдержанное в дубе	Вино обладает глубоким темно-рубиновым цветом и комплексным букетом с ароматами ежевики, черной смородины, оттенками табачного листа, солодки и подлеска. Среднетелое, отлично структурированное вино со зрелыми танинами и гармоничным послевкусием.	Хорошо сочетается с телятиной под красным соусом, пернатой дичью в винном соусе и выдержанными сырами.	Замку принадлежат 180 га, 64 га из которых занимают виноградники. Ближайшие соседи – шато Монроз и шато Калон-Сегюр. Почвы гравий; плотность посадки 8500 лоз/га; средний возраст лоз 35 лет.	В течение 16-18 месяцев во французских барриках, 50% из которых новые.	Ручной сбор. Ферментация в емкостях из нержавеющей стали при контролируемой температуре.		До отмены в 2010 году классификации Cru Bourgeois 2003, шато Фелан-Сегюр занимало высшую ступень в иерархии - Cru Bourgeois Exceptionnel.	Бордо	2015	13.5%	20-25 лет.	Saint-Estephe AOC	Appellation d'Origine Controlee (AOC)	аэрация	Бочка	['Выдержанный сыр', 'Утка']					['Отличный Фелан-Сегюр', 'Красные ягоды, вишня, танины средние, отлечный Фелан-Сегюр…', 'В аромате уваренная засахаренная ягода, благородная животина. Во рту свежая живая кислотность, ягода', '', '']
